Lat,Long,City,Humidity,Temperature,Cloudiness,Wind Speed,Max Temperature,Country,Date
-33.0117,17.9442,saldanha,68,78.8,0,2.3,78.8,ZA,1615973218
-3.8004,102.2655,bengkulu,69,83.98,82,6.11,83.98,ID,1615973218
59.7,150.1667,arman,70,7.68,0,8.9,7.68,RU,1615973219
-46.2817,169.8464,kaitangata,72,51.01,15,5.01,51.01,NZ,1615973219
-1.7555797006852174,165.73308165140372,tabiauea,,,,,,,
58.6147,5.6457,varhaug,70,39.67,3,2.82,41,NO,1615973219
-19.0595,-169.9187,alofi,94,75.2,89,2.3,75.2,NU,1615973220
60.00889939728734,-10.036670407032858,sorvag,,,,,,,
46.4333,26.4,asau,70,35.01,100,12.03,35.01,RO,1615973220
64.7001,43.3936,pinega,91,24.67,100,2.98,24.67,RU,1615973221
35.7333,140.8333,hasaki,58,53.87,75,4.61,54,JP,1615973150
47.6666,-52.7314,torbay,79,19.72,40,25.32,21,CA,1615973221
34.6391,-120.4579,lompoc,93,39.2,1,3.44,41,US,1615973221
70.8578,29.0864,berlevag,86,22.8,75,36.82,24.8,NO,1615973221
41.9294,19.2244,ulcinj,28,49.78,40,9.22,53.6,ME,1615973222
66.0317,60.1659,inta,92,28.27,99,5.97,28.27,RU,1615973222
13.7539,-13.7586,tambacounda,50,80.6,1,6.91,80.6,SN,1615973222
8.25,34.5833,gambela,34,98.1,100,2.77,98.1,ET,1615973222
27.9769,-114.0611,guerrero negro,86,53.33,0,10.02,53.33,MX,1615973223
64.8569,-147.8028,college,78,1.09,90,6.91,3,US,1615973223
-1.7669363875821489,-167.59237133051627,saleaula,,,,,,,
53.0452,158.6483,petropavlovsk-kamchatskiy,81,37.4,75,6.71,37.4,RU,1615973223
4.375,-7.7169,harper,79,81.73,97,8.63,81.73,LR,1615973223
-8.9266,125.4092,airai,95,65.55,100,1.25,65.55,TL,1615973224
-12.100511318763466,-162.2562558778063,samusu,,,,,,,
47.1053,-104.7125,glendive,93,24.8,90,3.44,24.8,US,1615973224
46.4154,3.9054,saint-francois,87,43.27,90,12.66,46,FR,1615973224
1.1667,108.9667,pemangkat,79,81.79,99,9.33,81.79,ID,1615973224
66.1451,-65.7125,pangnirtung,83,-21.98,8,1.43,-21.98,CA,1615973225
-14.65,49.65,andapa,60,84.45,68,3.31,84.45,MG,1615973225
-18.484012890486014,72.00027111281958,grand river south east,,,,,,,
60.7333,77.5889,strezhevoy,80,24.8,40,11.18,24.8,RU,1615973225
39.05,-27.9833,lagoa,78,59.63,100,23.64,59.63,PT,1615973225
-11.2061,13.8437,sumbe,68,82.4,75,2.73,82.4,AO,1615973226
-25.3333,-57.5333,san lorenzo,94,71.6,90,5.75,71.6,PY,1615973226
29.9697,40.2064,sakakah,18,77,0,4.61,77,SA,1615973226
13.2167,-59.5167,bathsheba,65,77,20,14.97,77,BB,1615973226
48.7674,14.0326,horni plana,74,35.58,90,5.01,37.99,CZ,1615973227
-7.4706,-34.8086,pitimbu,100,71.6,20,7.18,71.6,BR,1615973227
-5.25,14.8667,mbanza-ngungu,76,76.91,100,3.53,76.91,CD,1615973227
33.25774426401779,157.07876927219309,sentyabrskiy,,,,,,,
-30.1811,-50.2056,cidreira,89,73.92,77,6.46,73.92,BR,1615973227
22.8909,-109.9124,cabo san lucas,82,61.68,0,8.01,62.01,MX,1615973228
-0.8143,12.7287,lastoursville,83,78.8,40,1.34,78.8,GA,1615973228
30.3,109.4833,enshi,80,64.98,95,0.85,64.98,CN,1615973228
-8.8368,13.2343,luanda,69,82.4,75,5.75,82.4,AO,1615973228
60.7161,-135.0538,whitehorse,53,16.63,90,2.3,17.6,CA,1615973020
11.3832,-72.2432,maicao,82,76.68,88,10.51,76.68,CO,1615973229
60.7522,-137.5108,haines junction,72,10.4,100,2.26,10.4,CA,1615973229
55.862437069285306,130.40107263252816,chagda,,,,,,,
-10.9833,-66.1,riberalta,100,75.2,40,2.28,75.2,BO,1615973230
40.81,114.8794,zhangjiakou,43,50.09,99,5.66,50.09,CN,1615973230
52.8119,37.2425,verkhovye,94,28.51,83,9.51,28.51,RU,1615973230
54.2861,30.9842,horki,100,33.4,90,4.47,33.8,BY,1615973231
18.3851,42.4509,faya,9,81.5,0,5.75,82.4,SA,1615973231
53.2973,59.1348,agapovka,63,23,73,13.42,23,RU,1615973231
